STATEFP,COUNTYFP,TRACTCE,PUMA5CE
01,017,954300,01800
01,017,954400,01800
01,017,954500,01800
01,017,954600,01800
01,017,954700,01800
01,019,955701,01000
01,019,955702,01000
01,019,955800,01000
01,019,955900,01000
01,019,956000,01000
01,019,956100,01000
01,021,060101,01800
01,021,060102,01800
01,021,060200,01800
01,021,060300,01800
01,021,060401,01800
01,021,060402,01800
01,021,060500,01800
01,021,060600,01800
01,021,060700,01800
01,023,956700,02200
01,023,956800,02200
01,023,956900,02200
01,023,957000,02200
01,025,957500,02200
01,025,957601,02200
01,025,957602,02200
01,025,957700,02200
01,025,957800,02200
01,025,957901,02200
01,025,957902,02200
01,025,958001,02200
01,025,958002,02200
01,027,958900,01000
01,027,959000,01000
01,027,959100,01000
01,027,959200,01000
01,029,959500,01000
01,029,959600,01000
01,029,959700,01000
01,029,959800,01000
01,031,010100,02300
01,031,010200,02300
01,031,010300,02300
01,031,010400,02300
01,031,010500,02300
01,031,010600,02300
01,031,010700,02300
01,031,010800,02300
01,031,010900,02300
01,031,011000,02300
01,031,011100,02300
01,031,011201,02300
01,031,011202,02300
01,031,011300,02300
01,033,020100,00100
01,033,020200,00100
01,033,020300,00100
01,033,020400,00100
01,033,020500,00100
01,033,020600,00100
01,033,020701,00100
01,033,020703,00100
01,033,020704,00100
01,033,020801,00100
01,033,020802,00100
01,033,020901,00100
01,033,020902,00100
01,033,021000,00100
01,035,960200,02200
01,035,960300,02200
01,035,960400,02200
01,035,960500,02200
01,035,960600,02200
01,037,961000,01800
01,037,961100,01800
01,037,961200,01800
01,039,961600,02300
01,039,961700,02300
01,039,961800,02300
01,039,961900,02300
01,039,962000,02300
01,039,962100,02300
01,039,962300,02300
01,039,962400,02300
01,039,962500,02300
01,039,962600,02300
01,039,962700,02300
01,039,962800,02300
01,039,962900,02300
01,039,963000,02300
01,041,963400,02300
01,041,963500,02300
01,041,963600,02300
01,041,963700,02300
01,041,963800,02300
01,041,963900,02300
01,043,964100,00700
01,043,964200,00700
01,043,964300,00700
01,043,964400,00700
01,043,964500,00700
01,043,964600,00700
01,043,964700,00700
01,043,964800,00700
01,043,964900,00700
01,043,965000,00700
01,043,965100,00700
01,043,965200,00700
01,043,965300,00700
01,043,965401,00700
01,043,965402,00700
01,043,965500,00700
01,043,965600,00700
01,043,965700,00700
01,045,020000,02500
01,045,020100,02500
01,045,020200,02500
01,045,020300,02500
01,045,020400,02500
01,045,020500,02500
01,045,020700,02500
01,045,020801,02500
01,045,020802,02500
01,045,021101,02500
01,045,021102,02500
01,045,021200,02500
01,045,021300,02500
01,045,021400,02500
01,047,956100,01700
01,047,956201,01700
01,047,956202,01700
01,047,956300,01700
01,047,956400,01700
01,047,956500,01700
01,047,956600,01700
01,047,956701,01700
01,047,956702,01700
01,047,956800,01700
01,047,956900,01700
01,047,957000,01700
01,047,957100,01700
01,047,957200,01700
01,047,957300,01700
01,049,960100,00400
01,049,960200,00400
01,049,960300,00400
01,049,960400,00400
01,049,960500,00400
01,049,960600,00400
01,049,960700,00400
01,049,960800,00400
01,049,960900,00400
01,049,961000,00400
01,049,961100,00400
01,049,961200,00400
01,049,961300,00400
01,049,961400,00400
01,051,030100,02100
01,051,030200,02100
01,051,030300,02100
01,051,030400,02100
01,051,030500,02100
01,051,030600,02100
01,051,030701,02100
01,051,030702,02100
01,051,030800,02100
01,051,030901,02100
01,051,030902,02100
01,051,031000,02100
01,051,031100,02100
01,051,031200,02100
01,051,031300,02100
01,053,969800,02200
01,053,969900,02200
01,053,970100,02200
01,053,970200,02200
01,053,970300,02200
01,053,970400,02200
01,053,970500,02200
01,053,970600,02200
01,053,970700,02200
01,055,000200,00900
01,055,000300,00900
01,055,000400,00900
01,055,000500,00900
01,055,000600,00900
01,055,000700,00900
01,055,000800,00900
01,055,000900,00900
01,055,001000,00900
01,055,001100,00900
01,055,001200,00900
01,055,001300,00900
01,055,001600,00900
01,055,001700,00900
01,055,010100,00900
01,055,010200,00900
01,055,010300,00900
01,055,010401,00900
01,055,010402,00900
01,055,010501,00900
01,055,010502,00900
01,055,010601,00900
01,055,010602,00900
01,055,010700,00900
01,055,010800,00900
01,055,010900,00900
01,055,011001,00900
01,055,011002,00900
01,055,011100,00900
01,055,011200,00900
01,057,020000,01400
01,057,020100,01400
01,057,020200,01400
01,057,020300,01400
01,057,020400,01400
01,059,972900,00100
01,059,973000,00100
01,059,973100,00100
01,059,973200,00100
01,059,973300,00100
01,059,973400,00100
01,059,973500,00100
01,059,973600,00100
01,059,973700,00100
01,061,050100,02500
01,061,050200,02500
01,061,050300,02500
01,061,050400,02500
01,061,050500,02500
01,061,050600,02500
01,063,060000,01700
01,063,060100,01700
01,063,060200,01700
01,065,040000,01700
01,065,040100,01700
01,065,040200,01700
01,065,040300,01700
01,065,040400,01700
01,065,040500,01700
01,067,030100,02500
01,067,030200,02500
01,067,030300,02500
01,067,030400,02500
01,067,030500,02500
01,067,030600,02500
01,069,040100,02500
01,069,040201,02500
01,069,040202,02500
01,069,040301,02500
01,069,040302,02500
01,069,040400,02500
01,069,040500,02500
01,069,040600,02500
01,069,040700,02500
01,069,040800,02500
01,069,040900,02500
01,069,041000,02500
01,069,041100,02500
01,069,041200,02500
01,069,041400,02500
01,069,041500,02500
01,069,041600,02500
01,069,041700,02500
01,069,041800,02500
01,069,041900,02500
01,069,042000,02500
01,069,042100,02500
01,071,950100,00400
01,071,950200,00400
01,071,950300,00400
01,071,950400,00400
01,071,950500,00400
01,071,950600,00400
01,071,950700,00400
01,071,950800,00400
01,071,950900,00400
01,071,951000,00400
01,071,951100,00400
01,073,001100,01301
01,073,001200,01301
01,073,001400,01301
01,073,002900,01301
01,073,003001,01301
01,073,003002,01301
01,073,003100,01301
01,073,003200,01301
01,073,003300,01301
01,073,003400,01301
01,073,003500,01301
01,073,003600,01301
01,073,003700,01301
01,073,003802,01301
01,073,003803,01301
01,073,003900,01301
01,073,004000,01301
01,073,004200,01301
01,073,005101,01301
01,073,005103,01301
01,073,005104,01301
01,073,005200,01301
01,073,005701,01301
01,073,005702,01301
01,073,010500,01301
01,073,010602,01301
01,073,010603,01301
01,073,013002,01301
01,073,013100,01301
01,073,013200,01301
01,073,013300,01301
01,073,013400,01301
01,073,000100,01302
01,073,000300,01302
01,073,000400,01302
01,073,000500,01302
01,073,000700,01302
01,073,000800,01302
01,073,001500,01302
01,073,001600,01302
01,073,001902,01302
01,073,002000,01302
01,073,002100,01302
01,073,002200,01302
01,073,002303,01302
01,073,002305,01302
01,073,002306,01302
01,073,002400,01302
01,073,002700,01302
01,073,004500,01302
01,073,004701,01302
01,073,004702,01302
01,073,004800,01302
01,073,004901,01302
01,073,004902,01302
01,073,005000,01302
01,073,005302,01302
01,073,005500,01302
01,073,005600,01302
01,073,005903,01302
01,073,005905,01302
01,073,010900,01302
01,073,011904,01302
01,073,005800,01303
01,073,010701,01303
01,073,010702,01303
01,073,010703,01303
01,073,010704,01303
01,073,010705,01303
01,073,010706,01303
01,073,010801,01303
01,073,010802,01303
01,073,010803,01303
01,073,010804,01303
01,073,010805,01303
01,073,011001,01303
01,073,011002,01303
01,073,012602,01303
01,073,012701,01303
01,073,012703,01303
01,073,012704,01303
01,073,012802,01303
01,073,012803,01303
01,073,012905,01303
01,073,012906,01303
01,073,012907,01303
01,073,012908,01303
01,073,012910,01303
01,073,012911,01303
01,073,012912,01303
01,073,012913,01303
01,073,012914,01303
01,073,012915,01303
01,073,014404,01303
01,073,014405,01303
01,073,014406,01303
01,073,014408,01303
01,073,014409,01303
01,073,014410,01303
01,073,014412,01303
01,073,014413,01303
01,073,005907,01304
01,073,005908,01304
01,073,005909,01304
01,073,005910,01304
01,073,011104,01304
01,073,011107,01304
01,073,011108,01304
01,073,011109,01304
01,073,011110,01304
01,073,011111,01304
01,073,011205,01304
01,073,011206,01304
01,073,011207,01304
01,073,011208,01304
01,073,011209,01304
01,073,011210,01304
01,073,011301,01304
01,073,011302,01304
01,073,011400,01304
01,073,011500,01304
01,073,011600,01304
01,073,011703,01304
01,073,011704,01304
01,073,011705,01304
01,073,011706,01304
01,073,011802,01304
01,073,011803,01304
01,073,011804,01304
01,073,011901,01304
01,073,012001,01304
01,073,012002,01304
01,073,012103,01304
01,073,012104,01304
01,073,012401,01304
01,073,012402,01304
01,073,012403,01304
01,073,010001,01305
01,073,010002,01305
01,073,010100,01305
01,073,010200,01305
01,073,010301,01305
01,073,010302,01305
01,073,010401,01305
01,073,010402,01305
01,073,012200,01305
01,073,012302,01305
01,073,012304,01305
01,073,012305,01305
01,073,012500,01305
01,073,013601,01305
01,073,013801,01305
01,073,013901,01305
01,073,013902,01305
01,073,014001,01305
01,073,014002,01305
01,073,014102,01305
01,073,014104,01305
01,073,014105,01305
01,073,014203,01305
01,073,014204,01305
01,073,014301,01305
01,073,014302,01305
01,075,030000,01400
01,075,030100,01400
01,075,030200,01400
01,077,010100,00100
01,077,010200,00100
01,077,010300,00100
01,077,010400,00100
01,077,010600,00100
01,077,010700,00100
01,077,010800,00100
01,077,010900,00100
01,077,011000,00100
01,077,011101,00100
01,077,011102,00100
01,077,011200,00100
01,077,011300,00100
01,077,011400,00100
01,077,011501,00100
01,077,011502,00100
01,077,011602,00100
01,077,011603,00100
01,077,011604,00100
01,077,011700,00100
01,077,011801,00100
01,077,011802,00100
01,079,979100,00600
01,079,979200,00600
01,079,979300,00600
01,079,979400,00600
01,079,979500,00600
01,079,979600,00600
01,079,979700,00600
01,079,979800,00600
01,079,979900,00600
01,081,040200,01900
01,081,040300,01900
01,081,040400,01900
01,081,040500,01900
01,081,040602,01900
01,081,040603,01900
01,081,040604,01900
01,081,040700,01900
01,081,040800,01900
01,081,040901,01900
01,081,040902,01900
01,081,041000,01900
01,081,041100,01900
01,081,041200,01900
01,081,041300,01900
01,081,041400,01900
01,081,041600,01900
01,081,041700,01900
01,081,041800,01900
01,081,041900,01900
01,081,042002,01900
01,081,042003,01900
01,081,042004,01900
01,081,042005,01900
01,081,042006,01900
01,081,042101,01900
01,081,042102,01900
01,083,020101,00200
01,083,020102,00200
01,083,020201,00200
01,083,020202,00200
01,083,020300,00200
01,083,020401,00200
01,083,020402,00200
01,083,020500,00200
01,083,020600,00200
01,083,020700,00200
01,083,020801,00200
01,083,020802,00200
01,083,020900,00200
01,083,021000,00200
01,083,021100,00200
01,083,021200,00200
01,085,780800,02100
01,085,781000,02100
01,085,781100,02100
01,085,781200,02100
01,087,231400,02400
01,087,231500,02400
01,087,231601,02400
01,087,231602,02400
01,087,231603,02400
01,087,231700,02400
01,087,231800,02400
01,087,231900,02400
01,087,232000,02400
01,087,232100,02400
01,087,232200,02400
01,087,232300,02400
01,089,010100,00200
01,089,010200,00200
01,089,010301,00200
01,089,010302,00200
01,089,010401,00200
01,089,010402,00200
01,089,010501,00200
01,089,010502,00200
01,089,010701,00200
01,089,010702,00200
01,089,010800,00200
01,089,011100,00200
01,089,011200,00200
01,089,000301,00301
01,089,000302,00301
01,089,000403,00301
01,089,000501,00301
01,089,000502,00301
01,089,000503,00301
01,089,000601,00301
01,089,000602,00301
01,089,000701,00301
01,089,000702,00301
01,089,001301,00301
01,089,001302,00301
01,089,001401,00301
01,089,001402,00301
01,089,001500,00301
01,089,010612,00301
01,089,010621,00301
01,089,010622,00301
01,089,010623,00301
01,089,010624,00301
01,089,011011,00301
01,089,011012,00301
01,089,011013,00301
01,089,011014,00301
01,089,011021,00301
01,089,011022,00301
01,089,000201,00302
01,089,000202,00302
01,089,000901,00302
01,089,000902,00302
01,089,001000,00302
01,089,001200,00302
01,089,001700,00302
01,089,001801,00302
01,089,001901,00302
01,089,001902,00302
01,089,001903,00302
01,089,002000,00302
01,089,002100,00302
01,089,002200,00302
01,089,002300,00302
01,089,002400,00302
01,089,002501,00302
01,089,002502,00302
01,089,002600,00302
01,089,002701,00302
01,089,002721,00302
01,089,002722,00302
01,089,002801,00302
01,089,002802,00302
01,089,002911,00302
01,089,002912,00302
01,089,002921,00302
01,089,002922,00302
01,089,003000,00302
01,089,003100,00302
01,089,010901,00500
01,089,010902,00500
01,089,011300,00500
01,089,011400,00500
01,091,972900,01700
01,091,973000,01700
01,091,973100,01700
01,091,973200,01700
01,091,973300,01700
01,091,973400,01700
01,093,964000,00100
01,093,964100,00100
01,093,964200,01400
01,093,964300,01400
01,093,964400,01400
01,093,964500,01400
01,093,964600,01400
01,093,964700,01400
01,095,030100,00500
01,095,030201,00500
01,095,030202,00500
01,095,030300,00500
01,095,030401,00500
01,095,030402,00500
01,095,030500,00500
01,095,030600,00500
01,095,030701,00500
01,095,030702,00500
01,095,030801,00500
01,095,030802,00500
01,095,030902,00500
01,095,030903,00500
01,095,030904,00500
01,095,031000,00500
01,095,031100,00500
01,095,031200,00500
01,097,000200,02701
01,097,000401,02701
01,097,000402,02701
01,097,000500,02701
01,097,000600,02701
01,097,000701,02701
01,097,000702,02701
01,097,000800,02701
01,097,000901,02701
01,097,000902,02701
01,097,000903,02701
01,097,001001,02701
01,097,001002,02701
01,097,001100,02701
01,097,001200,02701
01,097,001302,02701
01,097,001400,02701
01,097,001501,02701
01,097,001502,02701
01,097,001800,02701
01,097,001901,02701
01,097,001902,02701
01,097,002000,02701
01,097,002100,02701
01,097,002200,02701
01,097,002301,02701
01,097,002302,02701
01,097,002400,02701
01,097,002501,02701
01,097,002502,02701
01,097,002600,02701
01,097,002700,02701
01,097,002800,02701
01,097,002900,02701
01,097,003901,02701
01,097,003902,02701
01,097,004000,02701
01,097,004100,02701
01,097,004800,02701
01,097,005100,02701
01,097,005200,02701
01,097,005300,02701
01,097,005400,02701
01,097,007400,02701
01,097,007500,02701
01,097,007600,02701
01,097,007700,02701
01,097,003000,02702
01,097,003100,02702
01,097,003202,02702
01,097,003203,02702
01,097,003204,02702
01,097,003205,02702
01,097,003301,02702
01,097,003302,02702
01,097,003402,02702
01,097,003404,02702
01,097,003405,02702
01,097,003406,02702
01,097,003407,02702
01,097,003408,02702
01,097,003501,02702
01,097,003502,02702
01,097,003602,02702
01,097,003605,02702
01,097,003606,02702
01,097,003607,02702
01,097,003608,02702
01,097,003703,02702
01,097,003704,02702
01,097,003705,02702
01,097,003706,02702
01,097,003707,02702
01,097,003708,02702
01,097,003709,02702
01,097,003710,02702
01,097,004900,02702
01,097,005000,02702
01,097,003800,02703
01,097,005500,02703
01,097,005600,02703
01,097,005700,02703
01,097,005800,02703
01,097,005900,02703
01,097,006000,02703
01,097,006102,02703
01,097,006103,02703
01,097,006104,02703
01,097,006105,02703
01,097,006200,02703
01,097,006301,02703
01,097,006302,02703
01,097,006402,02703
01,097,006403,02703
01,097,006404,02703
01,097,006405,02703
01,097,006406,02703
01,097,006407,02703
01,097,006501,02703
01,097,006502,02703
01,097,006600,02703
01,097,006701,02703
01,097,006702,02703
01,097,006801,02703
01,097,006802,02703
01,097,006901,02703
01,097,006902,02703
01,097,007000,02703
01,097,007101,02703
01,097,007102,02703
01,097,007103,02703
01,097,007201,02703
01,097,007202,02703
01,097,007300,02703
01,097,990000,02703
01,099,075600,02200
01,099,075700,02200
01,099,075800,02200
01,099,075900,02200
01,099,076000,02200
01,099,076100,02200
01,099,076200,02200
01,101,000100,02000
01,101,000200,02000
01,101,000400,02000
01,101,000500,02000
01,101,000600,02000
01,101,000700,02000
01,101,000900,02000
01,101,001000,02000
01,101,001100,02000
01,101,001200,02000
01,101,001300,02000
01,101,001400,02000
01,101,001500,02000
01,101,001600,02000
01,101,001700,02000
01,101,001800,02000
01,101,001900,02000
01,101,002000,02000
01,101,002100,02000
01,101,002201,02000
01,101,002202,02000
01,101,002300,02000
01,101,002400,02000
01,101,002500,02000
01,101,002600,02000
01,101,002700,02000
01,101,002800,02000
01,101,002900,02000
01,101,003000,02000
01,101,003100,02000
01,101,003200,02000
01,101,003301,02000
01,101,003302,02000
01,101,005102,02000
01,101,005301,02000
01,101,005302,02000
01,101,005402,02000
01,101,005403,02000
01,101,005406,02000
01,101,005407,02000
01,101,005409,02000
01,101,005410,02000
01,101,005502,02000
01,101,005503,02000
01,101,005603,02000
01,101,005605,02000
01,101,005606,02000
01,101,005607,02000
01,101,005608,02000
01,101,005609,02000
01,101,005610,02000
01,101,005611,02000
01,101,005612,02000
01,101,005902,02000
01,101,006100,02000
01,101,000300,02100
01,101,005101,02100
01,101,005408,02100
01,101,005501,02100
01,101,005504,02100
01,101,005604,02100
01,101,005700,02100
01,101,005800,02100
01,101,005901,02100
01,101,006000,02100
01,103,000100,00600
01,103,000200,00600
01,103,000300,00600
01,103,000400,00600
01,103,000600,00600
01,103,000700,00600
01,103,000800,00600
01,103,000900,00600
01,103,001000,00600
01,103,005101,00600
01,103,005103,00600
01,103,005105,00600
01,103,005106,00600
01,103,005107,00600
01,103,005108,00600
01,103,005109,00600
01,103,005200,00600
01,103,005301,00600
01,103,005302,00600
01,103,005303,00600
01,103,005304,00600
01,103,005404,00600
01,103,005405,00600
01,103,005500,00600
01,103,005600,00600
01,103,005701,00600
01,103,005702,00600
01,105,686800,01700
01,105,687000,01700
01,105,687100,01700
01,107,050000,01500
01,107,050100,01500
01,107,050200,01500
01,107,050300,01500
01,107,050400,01500
01,109,188600,02400
01,109,188700,02400
01,109,188800,02400
01,109,188900,02400
01,109,189000,02400
01,109,189100,02400
01,109,189200,02400
01,109,189300,02400
01,111,000100,01000
01,111,000200,01000
01,111,000300,01000
01,111,000400,01000
01,111,000500,01000
01,111,000600,01000
01,113,030200,02400
01,113,030300,02400
01,113,030401,02400
01,113,030402,02400
01,113,030500,02400
01,113,030600,02400
01,113,030700,02400
01,113,030800,02400
01,113,030901,02400
01,113,030902,02400
01,113,031000,02400
01,113,031100,02400
01,113,031200,02400
01,115,040103,00800
01,115,040104,00800
01,115,040105,00800
01,115,040106,00800
01,115,040201,00800
01,115,040203,00800
01,115,040204,00800
01,115,040205,00800
01,115,040300,00800
01,115,040401,00800
01,115,040402,00800
01,115,040501,00800
01,115,040502,00800
01,117,030102,01200
01,117,030103,01200
01,117,030211,01200
01,117,030212,01200
01,117,030213,01200
01,117,030214,01200
01,117,030215,01200
01,117,030216,01200
01,117,030217,01200
01,117,030303,01200
01,117,030304,01200
01,117,030305,01200
01,117,030306,01200
01,117,030314,01200
01,117,030315,01200
01,117,030316,01200
01,117,030317,01200
01,117,030319,01200
01,117,030320,01200
01,117,030330,01200
01,117,030331,01200
01,117,030332,01200
01,117,030333,01200
01,117,030334,01200
01,117,030336,01200
01,117,030337,01200
01,117,030340,01200
01,117,030341,01200
01,117,030342,01200
01,117,030344,01200
01,117,030345,01200
01,117,030405,01200
01,117,030406,01200
01,117,030407,01200
01,117,030408,01200
01,117,030501,01200
01,117,030502,01200
01,117,030604,01200
01,117,030605,01200
01,117,030607,01200
01,117,030608,01200
01,117,030609,01200
01,117,030701,01200
01,117,030703,01200
01,117,030704,01200
01,117,030800,01200
01,117,030900,01200
01,117,980000,01200
01,119,011300,01700
01,119,011400,01700
01,119,011500,01700
01,119,011600,01700
01,121,010101,01000
01,121,010102,01000
01,121,010201,01000
01,121,010202,01000
01,121,010301,01000
01,121,010302,01000
01,121,010400,01000
01,121,010500,01000
01,121,010600,01000
01,121,010700,01000
01,121,010900,01000
01,121,011000,01000
01,121,011100,01000
01,121,011200,01000
01,121,011300,01000
01,121,011400,01000
01,121,011500,01000
01,121,011600,01000
01,121,011700,01000
01,121,011800,01000
01,121,011900,01000
01,121,012000,01000
01,123,961900,01800
01,123,962000,01800
01,123,962100,01800
01,123,962200,01800
01,123,962300,01800
01,123,962400,01800
01,123,962501,01800
01,123,962502,01800
01,123,962600,01800
01,123,962700,01800
01,125,010101,01500
01,125,010102,01500
01,125,010103,01500
01,125,010201,01500
01,125,010202,01500
01,125,010203,01500
01,125,010301,01500
01,125,010302,01500
01,125,010303,01500
01,125,010601,01500
01,125,010602,01500
01,125,010701,01500
01,125,010702,01500
01,125,010703,01500
01,125,012501,01500
01,125,012502,01500
01,125,012503,01500
01,125,010204,01600
01,125,010403,01600
01,125,010404,01600
01,125,010405,01600
01,125,010406,01600
01,125,010407,01600
01,125,010500,01600
01,125,010802,01600
01,125,010803,01600
01,125,010804,01600
01,125,011200,01600
01,125,011401,01600
01,125,011402,01600
01,125,011600,01600
01,125,011701,01600
01,125,011703,01600
01,125,011800,01600
01,125,011901,01600
01,125,011902,01600
01,125,012000,01600
01,125,012100,01600
01,125,012303,01600
01,125,012304,01600
01,125,012305,01600
01,125,012403,01600
01,125,012404,01600
01,125,012405,01600
01,125,012600,01600
01,125,012700,01600
01,125,012800,01600
01,127,020100,01400
01,127,020200,01400
01,127,020300,01400
01,127,020400,01400
01,127,020600,01400
01,127,020700,01400
01,127,020800,01400
01,127,020900,01400
01,127,021000,01400
01,127,021100,01400
01,127,021200,01400
01,127,021300,01400
01,127,021400,01400
01,127,021500,01400
01,127,021600,01400
01,127,021700,01400
01,127,021800,01400
01,127,021900,01400
01,129,043900,02200
01,129,044000,02200
01,129,044100,02200
01,129,044200,02200
01,129,044300,02200
01,131,034700,02200
01,131,034800,02200
01,131,035100,02200
01,131,035200,02200
01,133,965501,00700
01,133,965502,00700
01,133,965503,00700
01,133,965600,00700
01,133,965700,00700
01,133,965800,00700
01,133,965900,00700
02,013,000100,00400
02,016,000100,00400
02,016,000200,00400
02,020,000101,00101
02,020,000102,00101
02,020,000201,00101
02,020,000202,00101
02,020,000203,00101
02,020,000204,00101
02,020,000300,00101
02,020,000400,00101
02,020,000500,00101
02,020,000600,00101
02,020,000701,00101
02,020,000702,00101
02,020,000703,00101
02,020,000801,00101
02,020,000802,00101
02,020,000901,00101
02,020,000902,00101
02,020,001000,00101
02,020,001100,00101
02,020,001200,00101
02,020,001300,00101
02,020,001400,00101
02,020,001500,00101
02,020,001601,00101
02,020,001702,00101
02,020,001731,00101
02,020,001602,00102
02,020,001701,00102
02,020,001732,00102
02,020,001801,00102
02,020,001802,00102
02,020,001900,00102
02,020,002000,00102
02,020,002100,00102
02,020,002201,00102
02,020,002202,00102
02,020,002301,00102
02,020,002302,00102
02,020,002303,00102
02,020,002400,00102
02,020,002501,00102
02,020,002502,00102
02,020,002601,00102
02,020,002602,00102
02,020,002603,00102
02,020,002702,00102
02,020,002711,00102
02,020,002712,00102
02,020,002811,00102
02,020,002812,00102
02,020,002813,00102
02,020,002821,00102
02,020,002822,00102
02,020,002823,00102
02,020,002900,00102
02,050,000100,00400
02,050,000200,00400
02,050,000300,00400
02,060,000100,00400
02,068,000100,00300
02,070,000100,00400
02,070,000200,00400
02,090,000100,00300
02,090,000200,00300
02,090,000300,00300
02,090,000400,00300
02,090,000500,00300
02,090,000600,00300
02,090,000700,00300
02,090,000800,00300
02,090,000900,00300
02,090,001000,00300
02,090,001100,00300
02,090,001200,00300
02,090,001300,00300
02,090,001400,00300
02,090,001500,00300
02,090,001600,00300
02,090,001700,00300
02,090,001800,00300
02,090,001900,00300
02,100,000100,00300
02,105,000200,00400
02,105,000300,00400
02,110,000100,00300
02,110,000200,00300
02,110,000300,00300
02,110,000400,00300
02,110,000500,00300
02,110,000600,00300
02,122,000100,00200
02,122,000200,00200
02,122,000300,00200
02,122,000400,00200
02,122,000500,00200
02,122,000600,00200
02,122,000700,00200
02,122,000800,00200
02,122,000900,00200
02,122,001000,00200
02,122,001100,00200
02,122,001200,00200
02,122,001300,00200
02,130,000100,00300
02,130,000200,00300
02,130,000300,00300
02,130,000400,00300
02,150,000100,00400
02,150,000200,00400
02,150,000300,00400
02,150,000400,00400
02,150,000500,00400
02,164,000100,00400
02,170,000101,00200
02,170,000102,00200
02,170,000200,00200
02,170,000300,00200
02,170,000401,00200
02,170,000402,00200
02,170,000501,00200
02,170,000502,00200
02,170,000601,00200
02,170,000603,00200
02,170,000604,00200
02,170,000701,00200
02,170,000703,00200
02,170,000705,00200
02,170,000706,00200
02,170,000800,00200
02,170,000900,00200
02,170,001001,00200
02,170,001003,00200
02,170,001004,00200
02,170,001100,00200
02,170,001201,00200
02,170,001202,00200
02,170,001300,00200
02,180,000100,00400
02,180,000200,00400
02,185,000100,00400
02,185,000200,00400
02,185,000300,00400
02,188,000100,00400
02,188,000200,00400
02,195,000200,00400
02,198,000100,00400
02,198,000200,00400
02,198,000300,00400
02,198,940100,00400
02,220,000100,00400
02,220,000200,00400
02,230,000100,00300
02,240,000100,00300
02,240,000400,00300
02,261,000100,00300
02,261,000200,00300
02,261,000300,00300
02,270,000100,00400
02,275,000300,00400
02,282,000100,00400
02,290,000100,00400
02,290,000200,00400
02,290,000300,00400
02,290,000400,00400
04,001,942600,00300
04,001,942700,00300
04,001,944000,00300
04,001,944100,00300
04,001,944201,00300
04,001,944202,00300
04,001,944300,00300
04,001,944901,00300
04,001,944902,00300
04,001,945001,00300
04,001,945002,00300
04,001,945100,00300
04,001,970200,00300
04,001,970300,00300
04,001,970501,00300
04,001,970502,00300
04,003,000100,00900
04,003,000201,00900
04,003,000202,00900
04,003,000203,00900
04,003,000301,00900
04,003,000302,00900
04,003,000303,00900
04,003,000400,00900
04,003,000500,00900
04,003,000600,00900
04,003,000700,00900
04,003,000800,00900
04,003,000901,00900
04,003,000902,00900
04,003,001000,00900
04,003,001100,00900
04,003,001200,00900
04,003,001300,00900
04,003,001401,00900
04,003,001402,00900
04,003,001501,00900
04,003,001502,00900
04,003,001601,00900
04,003,001602,00900
04,003,001701,00900
04,003,001702,00900
04,003,001703,00900
04,003,001800,00900
04,003,001900,00900
04,003,002001,00900
